Issue key,Issue id,Summary,Custom field (Bundle Version),Assignee,Created,Priority,Status,Custom field (Moment ID),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI),Custom field (Linked LSTI/DVTI)
MON-2424501,2602566,【TSAudio】ALC,v1.0.9-Beta-20240911-64-g2666792d7-irs2-8296a8ac-DF_HG01_C_VEHICLE_LYRA,ruiliang.li,2024-12-17 1:16 PM,P2,Done,d62ab91a-3c8e-4f62-8c4e-fb1a94860ead,,,,,
MON-2424486,2602551,不合理制动,v0.8.96-adlst-0606.patch.19-irs2-DF_HG01_C_VEHICLE_LYRA,jingpeng.sun,2024-12-17 11:48 AM,P1,Done,a69c2f61-1a63-4b8d-a4d0-a20af1fa1078,LSTI-4839,,,,
MON-2424479,2602544,邻道车辆漏检，ALC误触发,v0.8.96-adlst-0606.patch.10-irs2-DF_HG01_C_VEHICLE_LYRA,jingpeng.sun,2024-12-17 11:39 AM,P1,Done,bf6f1324-34c7-403e-a414-132aaa8a1e52,LSTI-5165,,,,
MON-2424478,2602543,不合理制动 ,v1.0.9-p6-Beta-20241204-irs2-DF_HG01_C_VEHICLE_LYRA,keming.zheng,2024-12-17 11:08 AM,P1,Done,ebeb6c03-4f8c-4b56-bd3e-ed1906dc10f0,LSTI-5241,,,,
MON-2424476,2602541,前车未压线，还是不合理刹车,v1.0.9-p6-Beta-20241204-irs2-DF_HG01_C_VEHICLE_LYRA,jingpeng.sun,2024-12-17 11:06 AM,P2,Done,0611e2de-d324-4691-8b14-b4de8e564055,LSTI-5241,,,,
MON-2424475,2602540,【TSAudio】ALC,v0.8.96-adlst-0606.patch.19-irs2-LQ_4H70_B_VEHICLE_LYRA,jingpeng.sun,2024-12-17 11:03 AM,P0,Done,1dba22d4-4feb-4d3e-9145-a63420dd0402,LSTI-5219,,,,
MON-2424472,2602537,【TSAudio】ALC,v1.0.9-Beta-20240911-64-g2666792d7-irs2-8296a8ac-DF_HG01_C_VEHICLE_LYRA,ruiliang.li,2024-12-17 10:33 AM,P2,Done,dad13fc5-8d56-4b1f-8059-fa31f664a33b,,,,,
MON-2424385,2602442,【TSAudio】Fallback,v1.0.12-Alpha-20241025-4-g4e7c269ad-jazz-5bd776ec-irs2-01a1dcab-DF_H19X_C_VEHICLE_LYRA,jingpeng.sun,2024-12-17 3:30 AM,P2,Done,4b236be0-fa34-4cbf-b200-ad21493c46f1,LSTI-5429,,,,
MON-2424380,2602436,13:09 ALC变道过程中误制动,v1.0.10-Alpha-20240919-113-g9b4eacc7e-irs2-2f7e8779-DF_H19X_C_VEHICLE_LYRA_A,hui.liu,2024-12-17 3:26 AM,P2,Done,a3505d00-afed-4a20-b4e9-9e1705080e25,,,,,
MON-2424378,2602434,12:41 ALC自动取消。,v1.0.10-Alpha-20240919-113-g9b4eacc7e-irs2-2f7e8779-DF_H19X_C_VEHICLE_LYRA_A,hui.liu,2024-12-17 3:24 AM,P2,Done,92169f6d-f8fa-44c9-92db-f645a0e2bb97,,,,,
MON-2424366,2602418,司机反馈：出现掉档,v1.0.9-p6-Beta-20241204-irs2-LQ_4H70_B_VEHICLE_LYRA,ryan.han,2024-12-17 2:16 AM,P1,Done,12965048-f6b0-4aee-b1fd-e9a1d61001de,,,,,
MON-2424364,2602414,质量分析-每日异常指标KA-重刹干预,v0.8.96-adlst-0606.patch.18-2-gcf15adbf0-irs2-97984fbd-CNHTC_Z19X_T_VEHICLE_M51_LC,jingpeng.sun,2024-12-17 2:10 AM,P1,Done,5f96596b-4423-45b9-b8b7-d769ceba9679,LSTI-5249,,,,
MON-2424357,2602398,司机反馈不合理刹车,v1.0.9-Beta-20240911-64-g2666792d7-irs2-8296a8ac-DF_HG01_C_VEHICLE_LYRA,jingpeng.sun,2024-12-17 1:23 AM,P1,Done,10ac2a77-11c9-4a87-91ae-844b3b747115,LSTI-5014,,,,
MON-2424352,2602390,隧道内突然减速,v0.8.96-adlst-0606.patch.8-irs2-DF_HG01_C_VEHICLE_LYRA,ruiliang.li,2024-12-17 1:05 AM,P1,Done,aa482f55-2d12-4b19-8c72-6c9730cc4647,,,,,
MON-2424349,2602386,【TSAudio】Fallback,v1.0.12-Alpha-20241025-4-g4e7c269ad-jazz-5bd776ec-irs2-01a1dcab-DF_H19X_C_VEHICLE_LYRA,jingpeng.sun,2024-12-17 12:59 AM,P2,Done,1f1fb59a-8ec7-45fc-9237-60f2d48a8e5f,LSTI-5429,,,,
MON-2424348,2602385,【TSAudio】Fallback,v1.0.12-Alpha-20241025-4-g4e7c269ad-jazz-5bd776ec-irs2-01a1dcab-DF_H19X_C_VEHICLE_LYRA,keming.zheng,2024-12-17 12:59 AM,P2,Done,8f05ebf3-abc6-4530-b0cd-676577099e33,LSTI-5429,,,,
